grid_id,lte_min_rsrp,lte_mean_rsrp,lte_median_rsrp,lte_point_count,lte_signal_class,nr_min_rsrp,nr_mean_rsrp,nr_median_rsrp,nr_point_count,nr_signal_class,VV,VH,NDVI,NDBI,population,nightlight,tree_ratio,grass_ratio,crop_ratio,builtup_ratio,water_ratio,cell_count,operator_count,gsm_count,umts_count,lte_count,nr_count
3975,-55.64,-46.228794,-45.48,937.0,Excellent,-128.64,-89.64803,-92.37,1755.0,Good,-8.570331269792128,-17.172422478726247,0.5240885625013222,-0.0805091982337234,1594.2423799541396,8.34739161854059,0.19523651177258428,0.3715133205583318,0.2353604036558718,0.19788976401321207,0.0,5,2,0,0,5,0
3976,-81.71,-68.405396,-69.13,1609.0,Excellent,-130.87,-92.90504,-92.43,2657.0,Good,-7.236508585143581,-16.06216869433457,0.4637805848188842,-0.0470959802976152,3061.6733534364143,14.387132251900686,0.22235562330531913,0.25496162095805963,0.0,0.5225107582727407,0.0,0,0,0,0,0,0
4072,-89.99,-83.527565,-84.71,1134.0,Good,-138.3,-100.50904,-96.83,2055.0,Good,-7.423317878495042,-15.959685955032464,0.527302329274491,-0.0787901395521037,2471.479707500748,7.93572392423388,0.23717356384056493,0.3411572841698913,0.0,0.4216691519895439,0.0,0,0,0,0,0,0
4166,-74.81,-64.09687,-62.38,624.0,Excellent,-128.37,-90.326965,-93.48,1207.0,Good,-10.591515279496257,-17.102620726618714,0.5853280786308732,-0.1242890458574087,173.73190354901342,5.853406659641039,0.3573940941359964,0.42219061627179616,0.06752341635781135,0.1527197975039797,5.735857680549618e-05,4,2,0,0,4,0
4167,-74.29,-70.27963,-70.44,216.0,Excellent,-131.27,-91.655655,-94.24,361.0,Good,-12.357059777186011,-19.36737935434744,0.561594681868275,-0.088098174991783,40.14884116757734,3.391785877523288,0.1245954081097872,0.4232169503252255,0.4241472586270574,0.027294741733729394,0.000745641204200423,0,0,0,0,0,0
4168,-90.14,-79.52016,-78.44,263.0,Excellent,-124.99,-98.59701,-95.03,405.0,Good,-9.416417181791566,-17.801314600490823,0.484634460258874,-0.0691223160958542,222.35081884042896,11.016873456189328,0.1392107413032368,0.24549731521402754,0.41058196154925797,0.19771235361438405,0.006137264181500166,2,2,0,0,2,0
4169,-92.19,-75.85242,-80.95,691.0,Good,-134.33,-88.7192,-88.44,1505.0,Excellent,-9.015942201081328,-16.69682508084485,0.5173835511461216,-0.1119598567327492,1120.1986054189072,13.969808275831324,0.3787869279669739,0.20510337682715316,0.13602654479310117,0.27595352052072925,0.0028677985361406718,1,1,0,0,1,0
4170,-77.91,-55.878635,-53.6,558.0,Excellent,-107.66,-72.74337,-69.34,1149.0,Excellent,-10.800489403955972,-18.734345977836774,0.4539321133744635,-0.0661231754306164,207.61313714697664,7.458150646135738,0.25458779103808166,0.14761209932954208,0.5342018598815458,0.06359824975083041,0.0,0,0,0,0,0,0
4270,-79.51,-74.5738,-75.585,242.0,Excellent,-134.51,-97.37122,-88.43,426.0,Excellent,-9.974210649644778,-17.144234628382907,0.6429862439006642,-0.1514778805034741,1285.153437224089,5.589458588214493,0.37240209074661035,0.29359524362345685,0.1355864745829216,0.19315175191822762,0.005264439128783584,5,3,0,0,5,0
4274,-83.38,-77.88617,-77.57,81.0,Excellent,-115.2,-90.95627,-89.72,185.0,Excellent,-11.493530196743164,-19.49284816104123,0.520634555548534,-0.096171612440703,315.0534665886969,6.142467649147844,0.1210711867152329,0.12980613257319243,0.680007154443742,0.0691155262678327,0.0,1,1,0,0,1,0
