grid_id,lte_min_rsrp,lte_mean_rsrp,lte_median_rsrp,lte_point_count,lte_signal_class,nr_min_rsrp,nr_mean_rsrp,nr_median_rsrp,nr_point_count,nr_signal_class,VV,VH,NDVI,NDBI,population,nightlight,tree_ratio,grass_ratio,crop_ratio,builtup_ratio,water_ratio,cell_count,operator_count,gsm_count,umts_count,lte_count,nr_count,nearest_lte_distance_m,nearest_nr_distance_m,lte_density_3km,nr_density_3km,lte_density_5km,nr_density_5km,pop_x_lte,pop_x_nr,builtup_x_lte,builtup_x_nr,nightlight_x_lte,nightlight_x_nr,vv_x_ndvi,vh_x_builtup,ndvi_minus_ndbi,longitude,latitude,distance_to_london_km
91516,-79.4,-72.299515,-70.47,290.0,Excellent,-132.85,-101.48418,-99.2,388.0,Good,-9.607403621259987,-15.858761755512122,0.8057832406898653,-0.3203668487710203,19.836268292046064,2.528568865901515,0.8798368941625804,0.07982486743207635,0.0,0.04033823840534319,0.0,17,4,1,0,16,0,98.18121749377944,7704.3559030571405,110,0,235,0,317.380292672737,0.0,0.645411814485491,0.0,40.45710185442424,0.0,-7.741484824554419,-0.6397145125073869,1.1261500894608856,0.07440013486628529,51.68492915336206,24.213328273860355
91517,-86.51,-72.740524,-70.87,95.0,Excellent,-132.07,-97.688675,-96.994995,136.0,Good,-9.398576342839505,-15.659594340027036,0.8018097435592997,-0.3019161658224847,45.535324489865815,4.551230148334015,0.8669413043007221,0.11495389014121334,0.0,0.018104805558064534,0.0,7,3,0,1,6,0,486.7690823888647,8306.568111383936,128,0,226,0,273.2119469391949,0.0,0.1086288333483872,0.0,27.30738089000409,0.0,-7.535870087274644,-0.2835139106443574,1.1037259093817844,0.08885531127322786,51.684672942062754,24.783619029499626
91518,-85.08,-67.58416,-67.02,274.0,Excellent,-119.93,-91.62056,-95.57,466.0,Good,-10.712490332073973,-17.23410588133594,0.6519215663513104,-0.1738417773997577,264.9348149441913,8.283645677189236,0.4124342560313542,0.28212321581648386,0.21099057289372786,0.09445195525843411,0.0,11,4,1,0,10,0,97.94685288598046,8980.036063243266,134,0,225,0,2649.348149441913,0.0,0.9445195525843411,0.0,82.83645677189236,0.0,-6.983703476808933,-1.6277949976230583,0.8257633437510681,0.10331027266993648,51.6844149530676,25.380509811684767
91519,-77.01,-60.970215,-60.99,232.0,Excellent,-120.05,-84.0535,-83.229996,474.0,Excellent,-10.965469764222147,-17.670750242316497,0.6048229116839475,-0.1267806605849576,482.1964164013373,10.565493970091753,0.25883703462942603,0.356685157930488,0.24747519382959063,0.13700261361049534,0.0,11,4,2,0,9,0,288.9788105006346,9709.944469729922,128,0,213,0,4339.767747612035,0.0,1.2330235224944581,0.0,95.08944573082577,0.0,-6.632167350779129,-2.420938967655654,0.7316035722689052,0.11776501757406531,51.6841551864383,26.00216884036171
91520,-82.39,-74.83507,-76.03,1223.0,Excellent,-115.84,-90.72543,-91.02,2328.0,Good,-11.47104152916097,-18.536130302008345,0.6152750539382015,-0.1313514290619089,87.63972776603757,10.544317917469506,0.23256244267865694,0.43868287087928476,0.24016373665890248,0.08505215192264945,0.0035387978605063587,22,4,4,0,18,0,72.14622925484008,10484.512173359703,124,0,201,0,1577.5150997886763,0.0,1.5309387346076901,0.0,189.7977225144511,0.0,-7.057845695581865,-1.5765377705044399,0.7466264830001104,0.13221954450341247,51.68389364223694,26.646862676576543
91729,-59.89,-51.25329,-51.46,76.0,Excellent,-125.84,-99.54567,-98.69,173.0,Good,-11.06491457383845,-17.688722723790036,0.636899712116756,-0.0899904356714834,24.0266502272922,3.1296284698975363,0.4282640094752261,0.4047524120107156,0.15807037195520007,0.008913206558858222,0.0,5,2,1,0,4,0,214.59806801340264,2193.629387958483,201,2,465,4,96.1066009091688,0.0,0.03565282623543289,0.0,12.518513879590145,0.0,-7.047240906674207,-0.15766323939950982,0.7268901477882395,-0.46088383578731407,51.68417080036708,30.31786154792522
91730,-85.41,-67.25813,-65.59,2055.0,Excellent,-132.38,-92.2646,-94.2,4180.0,Good,-10.98248554490699,-17.527154662234405,0.6455097273955085,-0.0932148108421894,65.1724710596981,5.960987229960346,0.40836640634222865,0.45389969415833903,0.044540184770716126,0.09305570261431943,0.0,24,4,3,3,18,0,101.48657473344547,1373.501792937602,252,2,582,4,1173.1044790745657,0.0,1.6750026470577497,0.0,107.29777013928623,0.0,-7.089301250218023,-1.6310016919240673,0.7387245382376979,-0.4464246089004925,51.68398046430038,29.548523396962043
91735,-94.2,-80.15245,-79.28,1030.0,Excellent,-130.68,-97.202095,-95.89,1470.0,Good,-9.66431969039186,-16.444656675595713,0.625841054832268,-0.1194529197860311,2257.7744783301987,7.826471306319932,0.3530528349248171,0.22590087524305547,0.21068562815655642,0.20899507219367713,0.00074486699012394,13,3,0,0,13,0,113.5831094822271,2540.6205445359396,275,2,702,5,29351.06821829258,0.0,2.716935938517803,0.0,101.74412698215912,0.0,-6.0483280292711,-3.4368522091163607,0.7452939746182992,-0.3741309036356201,51.683002098241815,25.93892375271315
91745,-94.45,-79.54351,-80.28,2252.0,Good,-130.84,-90.44607,-90.11,3293.0,Good,-10.998829232986049,-19.1890536801641,0.3671776609733476,0.0103412450836803,32.425287756827814,11.947527345002207,0.10222137935517264,0.05531452966192781,0.7471850850834523,0.09521692695596755,0.0,17,3,0,0,17,0,101.08265200488478,3132.651142965712,187,0,355,16,551.2298918660729,0.0,1.6186877582514483,0.0,203.10796486503753,0.0,-4.038524391213096,-1.8271227226183255,0.3568364158896673,-0.22955623310554013,51.68091195660064,20.548791362646444
91746,-89.68,-76.880104,-80.35,280.0,Good,-113.71,-87.98708,-89.11,459.0,Excellent,-10.743369979694211,-18.067373797030168,0.5173383477103735,-0.078674631876804,24.67383120834973,7.319573576751096,0.32383844959285213,0.08015953371711466,0.5521190460598467,0.04375881419405067,0.00012415643613575508,16,3,0,0,16,0,169.4562760290109,2323.3355128805365,211,10,345,17,394.78129933359565,0.0,0.7001410271048107,0.0,117.11317722801753,0.0,-5.557957274136232,-0.7906068529587029,0.5960129795871775,-0.21509974387666325,51.680693160525145,20.203844499679356
91747,-79.56,-78.91091,-78.54,11.0,Excellent,-102.41,-90.96143,-91.49,21.0,Good,-10.607491554195096,-17.51891688227975,0.6409232749567508,-0.1370688297948305,26.352514704652865,4.8483901523962265,0.2991806202084469,0.2829838892068616,0.40712052407976496,0.010714966504926577,0.0,5,3,0,0,5,0,332.2985286236163,1351.0412963807275,209,11,357,17,131.76257352326434,0.0,0.05357483252463289,0.0,24.241950761981133,0.0,-6.798588225990796,-0.18771460759622027,0.7779921047515813,-0.20064343837171444,51.680472586125724,19.90321176767394
